FileName;Group;Genotype;Rosi;ShortName
GSM2290670_WT_NO_1.CEL;WT.NO;WT;NO;WT.NO.1
GSM2290671_WT_NO_2.CEL;WT.NO;WT;NO;WT.NO.2
GSM2290672_WT_NO_3.CEL;WT.NO;WT;NO;WT.NO.3
GSM2290673_KO_NO_1.CEL;KO.NO;KO;NO;KO.NO.1
GSM2290674_KO_NO_2.CEL;KO.NO;KO;NO;KO.NO.2
GSM2290675_KO_NO_3.CEL;KO.NO;KO;NO;KO.NO.3
GSM2290676_WT_YES_1.CEL;WT.YES;WT;YES;WT.YES.1
GSM2290677_WT_YES_2.CEL;WT.YES;WT;YES;WT.YES.2
GSM2290678_WT_YES_3.CEL;WT.YES;WT;YES;WT.YES.3
GSM2290679_KO_YES_1.CEL;KO.YES;KO;YES;KO.YES.1
GSM2290680_KO_YES_2.CEL;KO.YES;KO;YES;KO.YES.2
GSM2290681_KO_YES_3.CEL;KO.YES;KO;YES;KO.YES.3
